City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Clyde River,CA,2021-04-19 00:39:13,70.4692,-68.5914,5.0,85,90,13.8
68,Jiuquan,CN,2021-04-19 00:41:46,39.7432,98.5174,54.81,26,100,3.69
69,Ponta Do Sol,PT,2021-04-19 00:41:46,32.6667,-17.1,57.99,73,4,1.99
70,Ceccano,IT,2021-04-19 00:41:46,41.5677,13.3333,45.0,83,43,3.24
71,Busselton,AU,2021-04-19 00:40:53,-33.65,115.3333,64.87,65,100,10.25
72,Miyako,JP,2021-04-19 00:41:47,39.6367,141.9525,55.63,54,100,16.15
73,Mar Del Plata,AR,2021-04-19 00:41:41,-38.0023,-57.5575,66.99,88,0,5.75
74,Ancud,CL,2021-04-19 00:41:47,-41.8697,-73.8203,55.4,100,90,11.5
75,Aksarka,RU,2021-04-19 00:41:47,66.5606,67.7975,-4.58,91,99,4.0
76,Nova Cruz,BR,2021-04-19 00:41:47,-6.4781,-35.4339,77.0,88,40,3.44
77,Ontario,US,2021-04-19 00:41:39,34.0633,-117.6509,86.0,6,1,6.91
78,Polonnaruwa,LK,2021-04-19 00:41:48,7.9333,81.0,74.5,89,25,3.94
79,Nikolskoye,RU,2021-04-19 00:41:48,59.7035,30.7861,42.8,65,0,6.71
80,Vaini,TO,2021-04-19 00:40:29,-21.2,-175.2,80.6,78,40,9.22
81,Takoradi,GH,2021-04-19 00:41:48,4.8845,-1.7554,78.24,82,100,3.04
82,Inhambane,MZ,2021-04-19 00:41:49,-23.865,35.3833,66.74,75,22,3.18
83,Nanortalik,GL,2021-04-19 00:41:49,60.1432,-45.2371,29.16,56,24,8.21
84,Katsuura,JP,2021-04-19 00:41:49,35.1333,140.3,62.6,31,0,20.71
85,Geraldton,AU,2021-04-19 00:41:50,-28.7667,114.6,62.6,63,0,11.5
86,Portland,US,2021-04-19 00:37:56,45.5234,-122.6762,82.4,21,20,6.91
87,Bengkulu,ID,2021-04-19 00:41:50,-3.8004,102.2655,77.29,83,27,3.44
88,Boende,CD,2021-04-19 00:41:50,-0.2167,20.8667,71.74,99,100,2.77
89,Katangli,RU,2021-04-19 00:41:51,51.7102,143.2326,31.33,98,100,23.29
90,Dikson,RU,2021-04-19 00:41:51,73.5069,80.5464,-8.88,100,100,6.91
91,Port Alfred,ZA,2021-04-19 00:41:51,-33.5906,26.891,74.53,33,0,9.57
92,Gat,IL,2021-04-19 00:41:51,31.61,34.7642,78.01,35,97,5.01
93,Hervey Bay,AU,2021-04-19 00:41:52,-25.2986,152.8535,75.0,66,0,5.99
94,Carnarvon,AU,2021-04-19 00:41:52,-24.8667,113.6333,77.0,64,0,19.01
95,Half Moon Bay,US,2021-04-19 00:41:52,37.4636,-122.4286,55.0,87,75,13.8
96,Rantepao,ID,2021-04-19 00:41:53,-2.9701,119.8978,76.5,69,58,1.3
97,Killarney,IE,2021-04-19 00:41:53,52.05,-9.5167,46.33,95,100,5.97
98,Vilyuysk,RU,2021-04-19 00:41:53,63.7553,121.6247,16.32,85,100,6.44
99,Tuatapere,NZ,2021-04-19 00:41:53,-46.1333,167.6833,63.0,74,94,3.0
100,Esperance,AU,2021-04-19 00:41:54,-33.8667,121.9,59.0,82,67,8.05
101,Abbeville,FR,2021-04-19 00:41:54,50.1,1.8333,39.0,84,0,2.55
102,Qaanaaq,GL,2021-04-19 00:41:54,77.484,-69.3632,3.09,78,99,4.92
103,Havelock,US,2021-04-19 00:41:55,34.8791,-76.9013,66.2,68,75,4.61
104,Thompson,CA,2021-04-19 00:41:55,55.7435,-97.8558,28.4,43,40,18.41
105,Vanavara,RU,2021-04-19 00:41:55,60.34,102.2797,26.38,80,100,9.55
106,Leeton,AU,2021-04-19 00:41:55,-34.5667,146.4,60.8,55,39,2.3
107,Bethel,US,2021-04-19 00:41:56,41.3712,-73.414,57.2,41,90,4.61
108,Horsham,GB,2021-04-19 00:41:56,51.064,-0.3272,42.01,93,13,1.14
109,Upington,ZA,2021-04-19 00:41:56,-28.4478,21.2561,69.8,40,0,10.36
110,Puerto Escondido,MX,2021-04-19 00:41:57,15.85,-97.0667,82.4,78,1,8.05
111,Fortuna,US,2021-04-19 00:40:55,40.5982,-124.1573,57.99,87,1,11.5
112,Araouane,ML,2021-04-19 00:41:54,18.9048,-3.5265,80.47,10,2,10.6
113,Banda Aceh,ID,2021-04-19 00:41:57,5.5577,95.3222,81.64,76,88,10.67
114,Vila Velha,BR,2021-04-19 00:41:57,-20.3297,-40.2925,77.0,83,20,4.61
115,Ufa,RU,2021-04-19 00:40:59,54.775,56.0375,33.8,51,0,6.71
116,Port Hawkesbury,CA,2021-04-19 00:41:58,45.6169,-61.3485,35.01,93,90,12.66
117,Alofi,NU,2021-04-19 00:41:19,-19.0595,-169.9187,84.2,54,5,10.36
118,Hermanus,ZA,2021-04-19 00:39:04,-34.4187,19.2345,64.99,91,100,11.1
119,Nishihara,JP,2021-04-19 00:41:58,26.1842,127.7558,68.0,63,75,16.11
120,Hamilton,US,2021-04-19 00:37:19,39.1834,-84.5333,57.2,35,1,5.75
121,Georgetown,MY,2021-04-19 00:40:22,5.4112,100.3354,80.6,89,20,2.3
122,Port Hardy,CA,2021-04-19 00:41:59,50.6996,-127.4199,66.2,52,1,6.91
123,Khatanga,RU,2021-04-19 00:40:35,71.9667,102.5,-0.54,94,86,9.15
124,Rafraf,TN,2021-04-19 00:41:59,37.1904,10.1837,50.0,76,40,8.05
125,Zyryanka,RU,2021-04-19 00:41:59,65.75,150.85,30.38,65,18,7.74
126,Omboue,GA,2021-04-19 00:41:59,-1.5746,9.2618,78.66,86,100,3.87
127,Paita,PE,2021-04-19 00:42:00,-5.0892,-81.1144,70.09,82,82,8.34
128,Castro,BR,2021-04-19 00:42:00,-24.7911,-50.0119,56.37,98,7,5.26
129,Flin Flon,CA,2021-04-19 00:42:00,54.7682,-101.865,29.66,42,10,9.64
130,Labuhan,ID,2021-04-19 00:40:32,-6.8844,112.2051,79.88,77,57,5.57
131,Smirnykh,RU,2021-04-19 00:42:01,49.75,142.8333,39.79,77,98,9.62
132,Sorong,ID,2021-04-19 00:42:01,-0.8833,131.25,81.16,76,100,3.22
133,Victoria,HK,2021-04-19 00:41:40,22.2855,114.1577,72.0,69,100,1.99
134,Mayskiy,RU,2021-04-19 00:42:01,47.6931,40.1025,48.2,87,40,2.24
135,Masakin,TN,2021-04-19 00:42:02,35.7292,10.5808,53.01,62,0,8.05
