City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Soyo,AO,-6.1349,12.3689,79.38,87,100,3.51,light rain
80,Chifeng,CN,42.2683,118.9636,54.77,36,100,10.6,overcast clouds
81,Provideniya,RU,64.3833,-173.3,33.8,55,0,1.12,clear sky
82,Ahipara,NZ,-35.1667,173.1667,67.05,63,58,4.47,broken clouds
83,Butaritari,KI,3.0707,172.7902,82.0,78,100,15.05,light rain
84,Fairbanks,US,64.8378,-147.7164,48.0,27,1,3.44,clear sky
85,Esperance,AU,-33.8667,121.9,60.8,77,90,6.91,overcast clouds
86,Tuatapere,NZ,-46.1333,167.6833,55.0,84,100,2.93,overcast clouds
87,Sitka,US,57.0531,-135.33,55.4,35,20,10.36,few clouds
88,Raudeberg,NO,61.9875,5.1352,39.0,76,98,7.09,overcast clouds
89,Atuona,PF,-9.8,-139.0333,80.55,74,27,20.6,scattered clouds
90,Avarua,CK,-21.2078,-159.775,82.4,65,20,17.27,few clouds
91,Lorengau,PG,-2.0226,147.2712,84.92,72,100,5.48,overcast clouds
92,Senovo,SI,46.0236,15.4769,44.6,81,22,8.05,few clouds
93,Coahuayana,MX,18.7333,-103.6833,80.6,29,1,11.5,clear sky
94,Chunskiy,RU,56.0815,99.6342,24.4,56,84,4.88,broken clouds
95,Mahebourg,MU,-20.4081,57.7,77.0,94,40,4.61,scattered clouds
96,Bengkulu,ID,-3.8004,102.2655,78.08,84,62,2.98,broken clouds
97,Selfoss,IS,63.9331,-20.9971,37.99,96,100,1.99,overcast clouds
98,Adrar,MR,20.5022,-10.0711,77.63,11,3,12.01,clear sky
99,Tabuk,PH,17.4189,121.4443,82.65,64,98,3.4,overcast clouds
100,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,81,90,4.61,overcast clouds
101,Coquimbo,CL,-29.9533,-71.3436,59.0,88,0,3.44,clear sky
102,Hilo,US,19.7297,-155.09,82.4,54,75,9.22,broken clouds
103,New Norfolk,AU,-42.7826,147.0587,57.99,64,85,8.99,overcast clouds
104,Uray,RU,60.1247,64.7758,35.56,82,30,8.05,scattered clouds
105,Juneau,US,58.3019,-134.4197,53.6,16,20,13.8,few clouds
106,Shimoda,JP,34.6667,138.95,66.2,34,0,10.36,clear sky
107,Dire,ML,12.2833,-10.9667,86.49,46,72,7.02,broken clouds
108,Faanui,PF,-16.4833,-151.75,81.54,72,61,14.52,light rain
109,Airai,TL,-8.9266,125.4092,71.1,61,13,1.95,few clouds
110,Novorzhev,RU,57.0294,29.3338,42.04,87,100,7.78,overcast clouds
111,San Quintin,MX,30.4833,-115.95,59.47,64,8,14.12,clear sky
112,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,40,4.61,scattered clouds
113,Souillac,MU,-20.5167,57.5167,77.0,94,40,4.61,scattered clouds
114,Komsomolskiy,UZ,40.4272,71.7189,42.8,81,3,4.61,clear sky
115,Port Alfred,ZA,-33.5906,26.891,69.37,85,100,6.4,moderate rain
116,Charters Towers,AU,-20.1,146.2667,66.51,96,100,15.7,light rain
117,Hambantota,LK,6.1241,81.1185,75.2,100,20,2.3,few clouds
118,San Cristobal,VE,7.7669,-72.225,80.6,69,40,2.3,scattered clouds
119,Guerrero Negro,MX,27.9769,-114.0611,60.67,69,100,17.78,overcast clouds
120,Katsuura,JP,35.1333,140.3,68.0,37,40,8.05,scattered clouds
121,Batagay-Alyta,RU,67.8006,130.4114,7.74,78,94,2.19,overcast clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,100,75,5.75,light intensity drizzle
123,Anderson,US,34.5334,-82.6499,50.0,34,1,19.57,clear sky
124,Flinders,AU,-34.5833,150.8552,66.0,45,0,5.99,clear sky
125,Salalah,OM,17.0151,54.0924,78.8,73,0,1.14,clear sky
126,Nemuro,JP,43.3236,145.575,37.4,70,75,12.66,broken clouds
127,Ranfurly,NZ,-45.1333,170.1,55.99,76,11,10.47,few clouds
128,Nouadhibou,MR,20.931,-17.0347,64.4,82,0,23.02,clear sky
129,Poltavka,RU,54.3663,71.7632,29.3,67,0,7.45,clear sky
130,Shakawe,BW,-18.3667,21.85,57.97,56,3,5.84,clear sky
131,Qaanaaq,GL,77.484,-69.3632,7.72,73,60,8.68,broken clouds
132,Pevek,RU,69.7008,170.3133,30.07,70,10,16.22,clear sky
133,Hithadhoo,MV,-0.6,73.0833,82.42,67,39,5.28,scattered clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,20,21.85,snow
135,Isangel,VU,-19.55,169.2667,84.2,84,75,8.05,broken clouds
136,Hasaki,JP,35.7333,140.8333,73.0,26,20,13.8,few clouds
137,Lovozero,RU,68.005,35.0117,31.28,98,100,1.77,light snow
138,Choix,MX,26.7092,-108.3219,82.33,19,98,9.69,overcast clouds
139,Norman Wells,CA,65.282,-126.8329,33.8,37,75,24.16,broken clouds
140,Pavino,RU,59.1139,46.1414,34.88,97,100,9.86,snow
141,Thompson,CA,55.7435,-97.8558,55.4,26,20,10.36,few clouds
142,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,40,4.61,light rain
143,Dawson Creek,CA,55.7666,-120.2362,30.2,86,75,13.8,snow
144,Georgetown,MY,5.4112,100.3354,84.2,83,20,3.44,few clouds
145,Castro,BR,-24.7911,-50.0119,55.08,98,64,6.29,broken clouds
146,Wamba,NG,8.9333,8.6,75.79,80,100,4.16,light rain
147,Owensboro,US,37.7742,-87.1133,46.4,39,1,3.53,clear sky
148,Codrington,AU,-38.2667,141.9667,59.14,60,35,16.08,scattered clouds
149,College,US,64.8569,-147.8028,46.99,21,1,4.61,clear sky
150,Khatanga,RU,71.9667,102.5,19.81,94,100,18.23,snow
151,Saldanha,ZA,-33.0117,17.9442,55.4,94,0,1.14,clear sky
152,Zacatepec,MX,18.65,-99.2,90.0,12,1,8.05,clear sky
153,Mubi,NG,10.2676,13.2644,84.67,20,100,4.83,overcast clouds
154,Turangi,NZ,-39.0,175.9333,70.0,50,4,1.99,clear sky
155,Aklavik,CA,68.2191,-135.0107,23.0,53,100,18.41,overcast clouds
156,Kosh-Agach,RU,50.0,88.6667,20.82,55,100,5.26,overcast clouds
157,Aloleng,PH,16.1307,119.7824,83.35,71,100,19.77,overcast clouds
158,El Vigia,VE,8.6219,-71.6506,79.09,74,6,4.83,clear sky
159,Nikolskoye,RU,59.7035,30.7861,36.0,93,40,2.24,mist
160,Mercedes,AR,-34.6515,-59.4307,71.01,78,100,8.01,overcast clouds
161,Zaraza,VE,9.3503,-65.3245,79.11,66,13,11.1,few clouds
162,Pacific Grove,US,36.6177,-121.9166,53.6,76,90,9.22,overcast clouds
163,Ponferrada,ES,42.5466,-6.5962,51.01,98,100,1.99,overcast clouds
164,Nhamunda,BR,-2.1861,-56.7131,74.77,92,96,0.29,overcast clouds
165,Kahului,US,20.8947,-156.47,84.2,58,40,23.02,scattered clouds
166,Cairns,AU,-16.9167,145.7667,82.0,78,40,9.22,scattered clouds
167,Pangkalanbuun,ID,-2.6833,111.6167,83.19,65,100,2.95,light rain
168,Seljord,NO,59.4894,8.634,37.0,56,2,6.58,clear sky
169,Ossora,RU,59.2353,163.0719,31.87,95,100,2.57,overcast clouds
170,Westport,US,41.1415,-73.3579,41.0,49,54,16.91,broken clouds
171,Menongue,AO,-14.6585,17.691,58.03,68,0,4.79,clear sky
172,Iraray,PH,8.9936,118.0511,83.98,71,95,5.06,overcast clouds
173,Ilo,PE,-17.6394,-71.3375,67.59,88,15,6.29,few clouds
174,Loreto,MX,22.2667,-101.9667,74.75,11,99,8.05,overcast clouds
175,Mareeba,AU,-17.0,145.4333,82.0,78,40,9.22,scattered clouds
176,Mpika,ZM,-11.8343,31.4529,58.87,96,99,6.53,overcast clouds
177,Okhotsk,RU,59.3833,143.3,30.0,97,83,4.34,broken clouds
178,Crossville,US,35.949,-85.0269,37.4,52,1,4.61,clear sky
179,Nadym,RU,65.5333,72.5167,31.71,94,100,11.86,overcast clouds
180,Terrace Bay,CA,48.7834,-87.1,30.2,69,25,6.91,scattered clouds
181,Upernavik,GL,72.7868,-56.1549,11.57,69,100,6.49,overcast clouds
182,Weligama,LK,5.9667,80.4167,78.13,86,95,6.49,overcast clouds
183,Sabang,ID,5.8933,95.3214,83.46,73,100,15.03,overcast clouds
184,San Policarpo,PH,12.1791,125.5072,82.81,73,43,8.39,scattered clouds
185,Sao Filipe,CV,14.8961,-24.4956,72.3,72,80,12.15,broken clouds
186,Scarborough,GB,54.2797,-0.4044,32.0,88,9,3.44,clear sky
187,Mayna,RU,54.1135,47.6231,37.72,97,100,10.22,overcast clouds
188,Road Town,VG,18.4167,-64.6167,78.01,88,40,3.44,scattered clouds
189,Barrow,US,71.2906,-156.7887,24.8,80,1,8.05,clear sky
190,Saint-Francois,FR,46.4154,3.9054,39.99,93,0,2.3,clear sky
191,Tignere,CM,7.3667,12.65,69.08,76,100,3.13,overcast clouds
192,Aasiaat,GL,68.7098,-52.8699,14.97,89,66,12.01,broken clouds
193,Alyangula,AU,-13.8483,136.4192,87.8,74,40,6.91,scattered clouds
194,Victoria Falls,ZW,-17.9235,25.843,58.68,68,13,4.05,few clouds
195,Muroto,JP,33.2833,134.15,69.8,49,0,4.61,clear sky
196,Jalu,LY,29.0331,21.5482,65.26,29,0,13.27,clear sky
197,Hervey Bay,AU,-25.2986,152.8535,73.0,56,75,5.75,broken clouds
198,Matamoros,MX,25.5333,-103.25,89.6,12,40,12.66,scattered clouds
199,Severo-Kurilsk,RU,50.6789,156.125,37.42,86,100,10.49,overcast clouds
200,Abha,SA,18.2164,42.5053,60.8,33,0,2.8,clear sky
201,Paita,PE,-5.0892,-81.1144,70.45,79,18,16.96,few clouds
202,Trofors,NO,65.5333,13.4063,32.0,74,75,2.3,broken clouds
203,Mackay,AU,-21.15,149.2,77.0,88,90,5.75,light rain
204,Itarema,BR,-2.9248,-39.9167,77.13,81,17,3.53,few clouds
205,Liku,ID,-0.7275,119.8922,85.82,58,24,1.25,few clouds
206,Vao,NC,-22.6667,167.4833,75.29,73,1,5.23,clear sky
207,East London,ZA,-33.0153,27.9116,69.48,86,94,3.87,overcast clouds
208,Vieux-Habitants,GP,16.0589,-61.7659,77.0,73,0,8.05,clear sky
209,Elin Pelin,BG,42.6667,23.6,39.2,87,0,2.3,clear sky
210,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,72,75,6.91,broken clouds
211,Kulhudhuffushi,MV,6.6221,73.07,83.68,68,13,6.06,few clouds
