City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Monrovia,LR,80.11,moderate rain,6.3005,-10.7969,Sunset Inn
367,Kavieng,PG,83.77,broken clouds,-2.5744,150.7967,Nusa Island Retreat
368,Ugoofaaru,MV,82.56,scattered clouds,5.6667,73.0,Ungoofaaru Inn
372,Cartagena,CO,82.4,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
375,Bubaque,GW,78.12,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
376,Ukiah,US,77.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
385,Soe,ID,75.27,broken clouds,-9.8607,124.28399999999999,Dena Hotel
386,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
388,Namuac,PH,78.46,overcast clouds,18.6109,121.1657,Mariner's Hub
392,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
395,Atar,MR,78.62,clear sky,20.5169,-13.0499,Oumou Elghoura
396,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
398,Namatanai,PG,81.07,overcast clouds,-3.6667,152.4333,Namatanai Hotel
407,Polewali,ID,83.64,broken clouds,-3.4324,119.3435,Lilianto Hotel
409,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
413,Sabha,LY,76.53,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
423,Camacari,BR,77.0,light rain,-12.6975,-38.3242,Hotel Cambuci
425,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
427,Kutum,SD,75.49,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
429,Trairi,BR,76.35,overcast clouds,-3.2778,-39.2689,janelas do mar
431,Cockburn Town,TC,78.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
432,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
435,Rio Branco,BR,75.2,few clouds,-9.9747,-67.81,João Paulo Hotel
440,Salinopolis,BR,78.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
441,Boyolangu,ID,78.96,few clouds,-8.1181,111.8935,Yos ega cv
445,Prachuap Khiri Khan,TH,88.0,few clouds,12.2167,99.75,สมบัติยาย
448,Qui Nhon,VN,80.2,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
451,Kanigoro,ID,79.27,few clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
456,Axim,GH,81.21,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
457,Kualakapuas,ID,80.6,clear sky,-3.0091,114.3876,Guest House Izonk
459,Turbat,PK,80.64,clear sky,26.0023,63.044,Mubashar Quarters
471,Kattivakkam,IN,82.4,mist,13.2167,80.3167,Raj's villa
472,Pangai,TO,84.2,few clouds,-19.8,-174.35,Ha'apai Beach Resort
473,Boa Vista,BR,84.2,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
476,Manicore,BR,77.0,clear sky,-5.8092,-61.3003,Hotel Durval
477,Lazaro Cardenas,MX,77.95,clear sky,17.9583,-102.2,Hotel Quinta Antigua
478,Manihari,IN,84.33,overcast clouds,25.35,87.6333,Shiv mandir saha bhwan
479,Nizwa,OM,75.76,clear sky,22.9333,57.5333,Orient Apartments
482,Ishigaki,JP,75.2,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
483,Anaco,VE,83.08,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
488,Esperanza,DO,81.0,few clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
489,Alta Floresta,BR,75.2,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
491,Kieta,PG,84.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
493,Dimbokro,CI,75.36,light rain,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
494,Wanlaweyn,SO,75.85,light rain,2.6185,44.8938,GAASHAAN HOME
497,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
498,Jepara,ID,81.25,clear sky,-5.1695,105.7044,Hotel Yestoya
504,Gariaband,IN,77.27,broken clouds,20.635,82.0614,हंसराज ट्रैक्टर
521,Karratha,AU,84.45,clear sky,-20.7377,116.8463,ibis Styles Karratha
524,Pemangkat,ID,80.51,few clouds,1.1667,108.9667,Ramah Kost KITA
527,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
536,Matara,LK,77.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
550,Buchanan,LR,79.29,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
551,Biak,ID,81.91,scattered clouds,-0.9131,122.8766,Penginapan Kim
554,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
558,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
567,Lingao,CN,79.61,clear sky,19.9103,109.6859,Lingao Ditai Inn
568,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
569,Manado,ID,87.8,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
570,Takoradi,GH,80.92,few clouds,4.8845,-1.7554,Raybow International Hotel
574,Ormara,PK,80.64,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
581,Harper,LR,80.76,scattered clouds,4.375,-7.7169,Screensaver
582,Puerto Baquerizo Moreno,EC,76.17,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
589,Moindou,NC,78.8,overcast clouds,-21.6924,165.67700000000002,Gite de la RYAWA
592,Kaduna,NG,75.69,light rain,10.5222,7.4383,HAMDALA HOTEL
594,Kati,ML,87.8,few clouds,12.7441,-8.0726,samassa la
597,Miandrivazo,MG,75.15,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
598,Boueni,YT,82.4,moderate rain,-12.9025,45.0761,The feet in water
601,Dingle,PH,87.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
609,Keti Bandar,PK,79.83,clear sky,24.1447,67.4497,Haji laloo memon house
610,Manokwari,ID,83.08,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
615,Pyay,MM,85.37,clear sky,18.8167,95.2167,Shwe Pyi Thar
620,Kandiari,PK,81.84,clear sky,26.9156,68.5216,Birohi Tailors
622,Karwar,IN,77.63,overcast clouds,14.8,74.1333,Netalco Connects
623,Oriximina,BR,76.35,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
624,Nuevo Laredo,MX,75.2,broken clouds,27.4763,-99.5164,City Express Nuevo Laredo
632,Caborca,MX,82.0,overcast clouds,30.5838,-111.101,Hotel Los Lagos
645,Champerico,GT,75.2,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
647,Arlit,NE,85.33,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
650,Nieuw Amsterdam,SR,78.8,few clouds,5.8833,-55.0833,Globe Hotel
653,Townsville,AU,77.0,light rain,-19.25,146.8,Rydges Southbank Townsville
660,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
661,Ahuimanu,US,87.8,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
665,Morondava,MG,75.29,few clouds,-20.2833,44.2833,La Case Bambou
669,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
671,San Rafael Del Sur,NI,80.6,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
674,Samastipur,IN,83.95,overcast clouds,25.85,85.7833,Hotel Madanlok
680,Kathu,TH,87.01,few clouds,7.9178,98.3332,Novotel Phuket Resort
683,Sambava,MG,75.45,overcast clouds,-14.2667,50.1667,Melrose
688,Domoni,KM,80.19,light rain,-12.2569,44.5319,Al Djadid
690,Chabahar,IR,79.99,clear sky,25.2919,60.643,هتل گدروشیا
696,Luwuk,ID,84.06,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
698,Kavaratti,IN,83.57,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
